Name, EA,formula
Ti27 anion,2.120000,Ti27-
Fe12,2.120000,Fe12
Pentasilver,2.120000,Ag5
Bi2C6F5 anion,2.120000,C6Bi2F5-
NaSn6 anion,2.120000,NaSn6-
(NH3)4..NH2 anion,2.120000,H14N5-
SiAl4 anion,2.121000,Al4Si-
(Ar)15..O radical anion,2.122000,Ar15O-
uranium trioxide,2.125000,O3U
platinum,2.125000,Pt
HNiCO anion,2.126000,CHNiO-
mSCF3-anilide anion,2.126000,C7H5F3NS-
tBuCH2S anion,2.127000,C5H11S-
(Ar)16..O radical anion,2.127000,Ar16O-
MeCH=NO2 anion,2.127000,C2H4NO2-
"1,3-Isobenzofurandione, 5-nitro-",2.129000,C8H3NO5
Fe24 anion,2.130000,Fe24-
Fe5S3 radical anion,2.130000,Fe5S3-
C70Na9 radical anion,2.130000,C70Na9-
Tl20 anion,2.130000,Tl20-
Ti28 anion,2.130000,Ti28-
Nb2C5 anion,2.130000,C5Nb2-
LuGe6 anion,2.130000,Ge6Lu-
Ag10,2.130000,Ag10
Ge2F radical,2.130000,FGe2
Cr19,2.130000,Cr19
Cr16,2.130000,Cr16
Cr18,2.130000,Cr18
(Ar)17..O radical anion,2.133000,Ar17O-
Difluoroboryl radical,2.134000,BF2
KrS anion,2.134000,KrS-
Fe18 anion,2.140000,Fe18-
(NH3)4..H anion,2.140000,H13N4-
Fe6BO2 anion,2.140000,BFe6O2-
Pb8I anion,2.140000,IPb8-
V24 anion,2.140000,V24-
Mo2O4 radical anion,2.140000,Mo2O2-
(Ar)18..O radical anion,2.143000,Ar18O-
o-difluorophenide anion,2.143000,C6H3F2-
pyrrolide anion,2.145000,C4H4N-
Chlorine dioxide anion,2.145000,ClO2-
2-Cl-5-tBu-p-benzoquinone radical,2.147000,C10H11ClO2
PhCH(Me)O anion,2.148000,C8H9O-
(Ar)19..O radical anion,2.149000,Ar19O-
Fe22 anion,2.150000,Fe22-
SiC4 radical anion,2.150000,C4Si-
Fe7S4 radical anion,2.150000,Fe7S4-
(CS2)5 radical anion,2.150000,C5S10-
Tl19 anion,2.150000,Tl19-
Ti29 anion,2.150000,Ti29-
V25 anion,2.150000,V25-
(COS)3 radical anion,2.150000,C3O3S3-
Al2P2 radical,2.150000,Al2P2
"5,10,15,20-Tetraphenyl-21H,23H-porphine iron monochloride",2.150000,C44H28ClFeN4
Fe2S2 radical,2.150000,Fe2S2
Fe-tetra(C6F5)porphyrin radical,2.150000,C44H8F20FeN4
LiAl4 anion,2.150000,Al4Li-
Al12Co anion,2.150000,Al12Co-
Al7B2 anion,2.150000,Al7B2-
PbIn5 anion,2.150000,In5Pb-
(MeCN)2..UO2F4 dianion,2.150000,C4H6F4N2O2U-2
Al2MoO4 anion,2.150000,Al2MoO4-
tetrahydropyran-2-O anion,2.151000,C5H9O2-
(Ar)20..O radical anion,2.155000,Ar20O-
(Ar)21..O radical anion,2.159000,Ar21O-
Trichloromethyl radical,2.160000,CCl3
"Benzonitrile, 3,5-dinitro-",2.160000,C7H3N3O4
In10Ge radical anion,2.160000,GeIn10-
ScGe7 anion,2.160000,Ge7Sc-
Al2MoO2 anion,2.160000,Al2MoO2-
Co12 radical anion,2.160000,Co12-
Ni13 radical anion,2.160000,Ni13-
Ga4P2 radical,2.160000,Ga4P2
(Ar)22..O radical anion,2.165000,Ar22O-
Ph2N anion,2.168000,C12H10N-
p-t-amyl-nitrobenzene radical,2.168000,C11H15NO2
(tBu)2CHO anion,2.170000,C9H19O-
Al5S anion,2.170000,Al5S-
Fe6S3 radical anion,2.170000,Fe6S3-
Tl15 anion,2.170000,Tl15-
Tl16 anion,2.170000,Tl16-
Pb5,2.170000,Pb5
C20{bowl} radical,2.170000,C20
(MeOH)3..Ph2CO radical anion,2.170000,C16H22O4-
TiPb16 radical anion,2.170000,Pb16Ti-
BiGa2 anion,2.170000,BiGa2-
Nb25 radical anion,2.171000,Nb25-
(Ar)23..O radical anion,2.171000,Ar23O-
mNMe2-phenoxide anion,2.172000,C8H10NO-
PtO anion,2.172000,OPt-
"2,3,5,6-Pyridinetetracarbonitrile",2.173000,C9HN5
MeSCH2S anion,2.175000,C2H5S2-
pMe-phenoxide anion,2.175000,C7H7O-
(Ar)24..O radical anion,2.177000,Ar24O-
Ag11 anion,2.180000,Ag11-
Ag12 anion,2.180000,Ag12-
(H2O)2..O2C(CH2)5CO2 dianion,2.180000,C7H14O6-2
In6P6 anion,2.180000,In6P6-
(H2O)10..O2CCO2 dianion,2.180000,C2H20O14-2
ZrPb16 radical anion,2.180000,Pb16Zr-
In12Si radical anion,2.180000,In12Si-
TiSi9 anion,2.180000,Si9Ti-
(COT)2Ho anion,2.180000,C16H16Ho-
Pb2C6F5 anion,2.180000,C6F5Pb2-
Pb2In3 anion,2.180000,In3Pb2-
Fe25 radical,2.180000,Fe25
benzoquinonide,2.180000,C6H3O2
(Ar)25..O radical anion,2.184000,Ar25O-
HfSi12 anion,2.190000,HfSi12-
C60Na radical anion,2.190000,C60Na-
Ti30 anion,2.190000,Ti30-
Ti31 anion,2.190000,Ti31-
V26 anion,2.190000,V26-
Fe3O3 anion,2.190000,Fe3O3-
(NaCl)5 radical anion,2.190000,Cl5Na5-
(Ar)26..O radical anion,2.191000,Ar26O-
mNH2-phenoxide anion,2.194000,C6H6NO-
CH2=CFO anion,2.196000,C2H2FO-
pEt-phenoxide anion,2.198000,C8H9O-
Al4S2 anion,2.200000,Al4S2-
Si5Na3 radical anion,2.200000,Na3Si5-
C70Na radical anion,2.200000,C70Na-
Tl17 anion,2.200000,Tl17-
Ti32 anion,2.200000,Ti32-
Cr26 anion,2.200000,Cr26-
TbSi9 radical anion,2.200000,Si9Tb-
Al5O3 anion,2.200000,Al5O3-
Se3,2.200000,Se3
Fe13,2.200000,Fe13
KC60,2.200000,C60K
TeF4 radical,2.200000,F4Te
AsCl2,2.200000,AsCl2
Cr20,2.200000,Cr20
Cr21,2.200000,Cr21
Cr22,2.200000,Cr22
Cr24,2.200000,Cr24
Cr25,2.200000,Cr25
tellurium dioxide,2.200000,O2Te
vanadium trichloride,2.200000,Cl3V
CrC5,2.200000,C5Cr
Al4,2.200000,Al4
(AgF)6 anion,2.200000,Ag6F6-
EuSi9 anion,2.200000,EuSi9-
H2O..PhNH anion,2.200000,C6H8NO-
Al12SiF anion,2.200000,Al12FSi-
Al12B anion,2.200000,Al12B-
Al4B2 anion,2.200000,Al4B2-
Al6B2 anion,2.200000,Al6B2-
Si9Cs anion,2.200000,CsSi9-
Si7Ti anion,2.200000,Si7Ti-
Si9Zr anion,2.200000,Si9Zr-
Si7Y anion,2.200000,Si7Y-
YbSi10 anion,2.200000,Si10Yb-
Rh9 anion,2.200000,Rh9-
Si10,2.200000,Si10
Al7,2.200000,Al7
oMe-phenoxide anion,2.201000,C7H7O-
"1,2,4,5-Benzenetetracarbonitrile",2.203000,C10H2N4
SnCH2CN anion,2.207000,C2H2NSn-
fluoradenide anion,2.207000,C19H11-
Dichlone,2.207000,C10H4Cl2O2
Si8W anion,2.210000,Si8W-
PbIn3 anion,2.210000,In3Pb-
B12 anion,2.210000,B12-
oxazolide anion,2.210000,C3H2NO-
Ti33 anion,2.210000,Ti33-
Pb9,2.210000,Pb9
W15 radical,2.210000,W15
Selenium monohydride,2.213000,HSe
AuCl anion,2.217000,AuCl-
Al5S3 anion,2.220000,Al5S3-
Fe6S4 radical anion,2.220000,Fe6S4-
Fe26 radical,2.220000,Fe26
P6,2.220000,P6
Tetrasulfur,2.220000,S4
Cr23,2.220000,Cr23
In10Si radical anion,2.220000,In10Si-
In12Ge radical anion,2.220000,GeIn12-
"2,5-diCl-3,6-diMe-p-benzoquinone radical",2.229000,C8H6Cl2O2
piPr-phenoxide anion,2.229000,C9H11O-
Si3F radical anion,2.230000,FSi3-
(CS2)6 radical anion,2.230000,C6S12-
Pb10I anion,2.230000,IPb10-
CO2..(pyridine)4 radical anion,2.230000,C21H20N4O2-
Ti34 anion,2.230000,Ti34-
Ti35 anion,2.230000,Ti35-
Ti36 anion,2.230000,Ti36-
TbSi8 radical anion,2.230000,Si8Tb-
Al5,2.230000,Al5
Fe29 radical,2.230000,Fe29
Silicon dimer,2.230000,Si2
Fe14,2.230000,Fe14
Trigermanium,2.230000,Ge3
p-aza-anilide anion,2.236000,C5H5N2-
HS(CH2)3S anion,2.238000,C3H7S2-
pF-C6H4CH2O anion,2.239000,C7H6FO-
Au4Zn anion,2.240000,Au4Zn-
(MeOH)4..Ph2CO radical anion,2.240000,C17H26O5-
Pb3Ag radical anion,2.240000,AgPb3-
VGe7 anion,2.240000,Ge7V-
Sn3 anion,2.240000,Sn3-
Fe4S3 radical anion,2.240000,Fe4S3-
Co13 radical anion,2.240000,Co13-
V27 anion,2.240000,V27-
V28 anion,2.240000,V28-
V30 anion,2.240000,V30-
Fe27 radical,2.240000,Fe27
(Ar)34..O radical anion,2.243000,Ar34O-
C60Eu2 anion,2.244000,C60Eu2-
Aluminum difluoride,2.245000,AlF2
Cr(CO)3O anion,2.250000,C3CrO4-
Cr(CO)3O2 anion,2.250000,C3CrO5-
(H2O)2..O2 radical anion,2.250000,H4O4-
Pb24 anion,2.250000,Pb24-
Ga8 anion,2.250000,Ga8-
Ti37 anion,2.250000,Ti37-
V29 anion,2.250000,V29-
Fe28 radical,2.250000,Fe28
Fe15,2.250000,Fe15
Cu11,2.250000,Cu11
Pd13,2.250000,Pd13
Cu9,2.250000,Cu9
Al4P2 radical,2.250000,Al4P2
Ta3O3 anion,2.250000,O3Ta3-
(AgF)5 anion,2.250000,Ag5F5-
Bi2Si5 anion,2.250000,Bi2Si5-
Al9B anion,2.250000,Al9B-
Al10C anion,2.250000,CAl10-
Al16C anion,2.250000,CAl16-
Si6V anion,2.250000,Si6V-
Pb2In5 anion,2.250000,In5Pb2-
(NH3)5..NH2 anion,2.250000,H17N6-
Bi2C4H4N anion,2.250000,C4H4Bi2N-
C60Si4 radical,2.250000,C60Si4
MeOH..MeO anion,2.255000,C2H7O2-
F2C=C radical,2.255000,C2F2
In14Ge radical anion,2.260000,GeIn14-
Pb9I anion,2.260000,IPb9-
Cu4(CN)4 radical anion,2.260000,C4Cu4N4-
Ti38 anion,2.260000,Ti38-
V31 anion,2.260000,V31-
Cr(CO)5,2.264000,C5CrO5
ptBu-phenoxide anion,2.264000,C10H13O-
Sn2CN anion,2.270000,CNSn2-
Co14 radical anion,2.270000,Co14-
Cr28 anion,2.270000,Cr28-
"(H2O)6..1,3-O2C-C6H4-CO2 dianion",2.270000,C8H16O10-2
Cr27,2.270000,Cr27
Copper trimer,2.270000,Cu3
(H2O)7..Me2CO radical anion,2.270000,C3H20O8-
D2O..Au2 anion,2.270000,Au2D2O-
mEt-phenoxide anion,2.271000,C8H9O-
Oxygen monofluoride,2.272000,FO
phospholide anion,2.272000,C4H4P-
arsolide anion,2.272000,C4H4As-
Nitrogen dioxide,2.273000,NO2
mCN-anilide anion,2.274000,C7H5N2-
Monochlorine monoxide,2.277000,ClO
HOCH2CH2O anion,2.278000,C2H5O2-
miPr-phenoxide,2.280000,C9H11O
Sn6 anion,2.280000,Sn6-
Pb10 anion,2.280000,Pb10-
Pb25 anion,2.280000,Pb25-
Ni14 radical anion,2.280000,Ni14-
(AgF)3 anion,2.280000,Ag3F3-
TaGe10 anion,2.280000,Ge10Ta-
Pb14,2.280000,Pb14
MeON=C(Me)O anion,2.281000,C3H6NO2-
Molybdenum tetrafluoride,2.281000,F4Mo
Monosulfur monofluoride,2.285000,FS
HSCH2CH2S anion,2.290000,C2H5S2-
Pb5(benzene) anion,2.290000,C6H6Pb5-
B3Au anion,2.290000,AuB3-
Cr29 anion,2.290000,Cr29-
mF-C6H4CH2O anion,2.291000,C7H6FO-
YbCl2..Cl anion,2.294000,Cl3Yb-
U2F8 anion,2.298000,F8U2-
HS(CH2)4S anion,2.298000,C4H9S2-
"(H2O)3..1,4-O2C-C6H4-CO2 dianion",2.300000,C8H10O7-2
Pb12I anion,2.300000,IPb12-
Ti39 anion,2.300000,Ti39-
NaSO3 anion,2.300000,NaO3S-
Al4N radical anion,2.300000,Al4N-
Al9N radical anion,2.300000,Al9N-
Al4O5 anion,2.300000,Al4O5-
C10,2.300000,C10
Fe30 radical,2.300000,Fe30
As4Ga4,2.300000,As4Ga4
Chloryl fluoride,2.300000,ClFO2
Au6Zn anion,2.300000,Au6Zn-
Al6B anion,2.300000,Al6B-
Al6C anion,2.300000,CAl6-
Si10Cs anion,2.300000,CsSi10-
Si11Cs anion,2.300000,CsSi11-
Si6Nb anion,2.300000,NbSi6-
Si6Ti anion,2.300000,Si6Ti-
Si6Zr anion,2.300000,Si6Zr-
Si8Zr anion,2.300000,Si8Zr-
Si9Hf anion,2.300000,HfSi9-
Si7Lu anion,2.300000,LuSi7-
Ga8N radical anion,2.300000,Ga8N-
Fe(S2-o-xyl)2Na anion,2.300000,C16H8FeNaS2-
Al6,2.300000,Al6
Si8,2.300000,Si8
mtBu-phenoxide anion,2.301000,C10H13O-
Silicon timer,2.302000,Si3
pC(CF3)3-anilide anion,2.304000,C10H5F9N-
gold,2.309000,Au
pCl-C6H4CH2O anion,2.309000,C7H6ClO-
F2CHCH2O anion,2.309000,C2H3F2O-
(Me2CO)6 radical anion,2.310000,C18H36O6-
Si16W anion,2.310000,Si16W-
Ag20 anion,2.310000,Ag20-
HSi2 anion,2.310000,HSi2-
Cr30 anion,2.310000,Cr30-
W16 radical,2.310000,W16
Dicarbon monoxide,2.311000,C2O
pSCF3-anilide anion,2.313000,C7H5F3NS-
Ag24,2.314000,Ag24
Mercapto radical,2.315000,HS
DS anion,2.315000,DS-
oOH-phenoxide anion,2.315000,C6H5O2-
Cr31 anion,2.320000,Cr31-
Cr32 anion,2.320000,Cr32-
ScO2,2.320000,O2Sc
ScC5 radical,2.320000,C5Sc
CuAl4 anion,2.320000,Al4Cu-
Au3Ni anion,2.320000,Au3Ni-
TiSi10 anion,2.320000,Si10Ti-
mMe-phenoxide anion,2.321000,C7H7O-
Phenoxy radical,2.324000,C6H5O
mSO2Me-anilide anion,2.330000,C7H8NO2S-
Pb18 anion,2.330000,Pb18-
Ti40 anion,2.330000,Ti40-
B5 anion,2.330000,B5-
Mo2O3 radical anion,2.330000,Mo2O3-
Ga4P4 radical,2.330000,Ga4P4
mOH-phenoxide anion,2.330000,C6H5O2-
MoSi16 anion,2.330000,MoSi16-
AlB11 anion,2.330000,AlB11-
Al14,2.330000,Al14
mCl-C6H4CH2O anion,2.330000,C7H6ClO-
"2,3-diCl-tBu-p-benzoquinone radical",2.333000,C10H10Cl2O2
"1,2,3-triPh-indenide anion",2.336000,C27H19-
Ethynyloxy radical,2.338000,C2HO
Iron tetracarbonyl,2.340000,C4FeO4
In14 anion,2.340000,In14-
C70Na3 radical anion,2.340000,C70Na3-
V32 anion,2.340000,V32-
V36 anion,2.340000,V36-
Cr33 anion,2.340000,Cr33-
Cr34 anion,2.340000,Cr34-
Fe31 radical,2.340000,Fe31
Pb11,2.340000,Pb11
mNO2-anilide anion,2.343000,C6H5N2O2-
SnCH2CN(CN) anion,2.344000,C3H2N2Sn-
Phenylthio radical,2.345000,C6H5S
NH3..HO anion,2.350000,H4NO-
V33 anion,2.350000,V33-
V34 anion,2.350000,V34-
V35 anion,2.350000,V35-
Cu15,2.350000,Cu15
Sn12,2.350000,Sn12
Pb4(benzene) anion,2.350000,C6H6Pb4-
Gramicidin(M-2H) dianion,2.350000,C99H140N20O17-2
C60Si3 radical,2.350000,C60Si3
Bromine monoxide,2.353000,BrO
Al4S3 anion,2.360000,Al4S3-
Iron dioxide,2.360000,FeO2
Fe2O2 radical,2.360000,Fe2O2
HfSi15 anion,2.360000,HfSi15-
Si12W anion,2.360000,Si12W-
Nb3C10 radical anion,2.360000,C10Nb3-
(H2O)2..O2C(CH2)6CO2 dianion,2.360000,C8H16O6-2
Pb23 anion,2.360000,Pb23-
pF-phenoxide anion,2.369000,C6H4FO-
Ag2Ni anion,2.370000,Ag2Ni-
Ga5P2 radical anion,2.370000,Ga5P2-
Ni15 radical anion,2.370000,Ni15-
Fe32 radical,2.370000,Fe32
Nb2C9 anion,2.370000,C9Nb2-
(COT)2Nd anion,2.370000,C16H16Nd-
Pb2In6 anion,2.370000,In6Pb2-
HCrO3 radical,2.372000,CrHO3
MeCOCH=NO anion,2.374000,C3H4NO2-
AuO,2.374000,AuO
Iodine oxide,2.378000,IO
(N2O)2..HO anion,2.380000,HN4O3-
Pb4F anion,2.380000,FPb4-
V39 anion,2.380000,V39-
Cr36 anion,2.380000,Cr36-
Cr37 anion,2.380000,Cr37-
Cr39,2.380000,Cr39
Cr35,2.380000,Cr35
In14Si radical anion,2.380000,In14Si-
MoSi15 anion,2.380000,MoSi15-
PbIn7 anion,2.380000,In7Pb-
MeC(=O)OO anion,2.381000,C2H3O3-
fluorobenzoquinonide anion,2.389000,C6H2FO2-
(NH3)5..H anion,2.390000,H16N5-
Ga2Bi3 radical anion,2.390000,Bi3Ga2-
Si6,2.390000,Si6
AgNi2 anion,2.390000,AgNi2-
V37 anion,2.390000,V37-
V38 anion,2.390000,V38-
V40 anion,2.390000,V40-
Cr40 anion,2.390000,Cr40-
Cu2(CN)2 radical,2.390000,C2Cu2N2
"3,5-diF-C6H3CH2O anion",2.395000,C7H5F2O-
chlorine trifluoride,2.398000,ClF3
F4SO..F anion,2.400000,F5OS-
Ge12 anion,2.400000,Ge12-
In2P radical anion,2.400000,In2P-
Ga4 anion,2.400000,Ga4-
Ga2P4 radical anion,2.400000,Ga2P4-
(NaCl)10 radical anion,2.400000,Cl10Na10-
Ni16 radical anion,2.400000,Ni16-
(COS)4 radical anion,2.400000,C4O4S4-
boron carbide,2.400000,CB
CrO2Cl,2.400000,ClCrO2
W17 radical,2.400000,W17
Fe4O3,2.400000,Fe4O3
Cr41,2.400000,Cr41
F2C=C=O radical,2.400000,C2F2O
Chlorine,2.400000,Cl2
V2C8 radical anion,2.400000,C8V2-
TaO2 anion,2.400000,O2Ta-
C2B5 anion,2.400000,C2B5-
In8Ge radical anion,2.400000,GeIn8-
Al8B2 anion,2.400000,Al8B2-
Al22C anion,2.400000,CAl22-
Si12Cs anion,2.400000,CsSi12-
Si16Cs anion,2.400000,CsSi16-
Si7Zr anion,2.400000,Si7Zr-
Si6Hf anion,2.400000,HfSi6-
Si7Hf anion,2.400000,HfSi7-
Si7Sc anion,2.400000,ScSi7-
Si7Ho anion,2.400000,HoSi7-
PrSi7 anion,2.400000,PrSi7-
Ga9N radical anion,2.400000,Ga9N-
LiAuB2O3 radical anion,2.400000,AuB2LiO3-
Si9,2.400000,Si9
Al2H6 radical,2.400000,Al2H6
In10,2.400000,In10
V2C8 radical anion,2.400000,C8V2-
TaO2 anion,2.400000,O2Ta-
C2B5 anion,2.400000,C2B5-
In8Ge radical anion,2.400000,GeIn8-
Al8B2 anion,2.400000,Al8B2-
Al22C anion,2.400000,CAl22-
Si12Cs anion,2.400000,CsSi12-
Si16Cs anion,2.400000,CsSi16-
Si7Zr anion,2.400000,Si7Zr-
Si6Hf anion,2.400000,HfSi6-
Si7Hf anion,2.400000,HfSi7-
Si7Sc anion,2.400000,ScSi7-
Si7Ho anion,2.400000,HoSi7-
PrSi7 anion,2.400000,PrSi7-
Ga9N radical anion,2.400000,Ga9N-
LiAuB2O3 radical anion,2.400000,AuB2LiO3-
Si9,2.400000,Si9
Al2H6 radical,2.400000,Al2H6
In10,2.400000,In10
HON=C(Me)O anion,2.400000,C2H4NO2-
"2,3,5,6-tetracyanophenide",2.407000,C10HN4
DC5 anion,2.407000,C5D-
Iodine monochloride,2.410000,ClI
Au5Ni anion,2.410000,Au5Ni-
Ge8 anion,2.410000,Ge8-
Si7Na3 radical anion,2.410000,Na3Si7-
CO2..(pyridine)5 radical anion,2.410000,C26H25N5O2-
Co20 radical anion,2.410000,Co20-
Ti45 anion,2.410000,Ti45-
Cr42 anion,2.410000,Cr42-
Trifluorosilyl radical,2.410000,F3Si
W19 radical,2.410000,W19
chromium dioxide,2.413000,CrO2
Cu16,2.415000,Cu16
mCF3-C6H4CH2O anion,2.417000,C8H6F3O-
(COT)2Ce anion,2.420000,C16H16Ce-
In2Bi3 radical anion,2.420000,Bi3In2-
NaSn5,2.420000,NaSn5
Fe8S4 radical anion,2.420000,Fe8S4-
Fe8S5 radical anion,2.420000,Fe8S5-
Co22 radical anion,2.420000,Co22-
Ti50 anion,2.420000,Ti50-
Mo2O2 radical anion,2.420000,Mo2O2-
Pb19,2.420000,Pb19
Dichlorofluoromethyl radical,2.421000,CCl2F
"cis-2-tBu-1,3-dithian-5-O anion",2.422000,C8H15OS2-
HC5 anion,2.423000,C5H-
sulphuryl dichloride,2.424000,Cl2O2S
In4P3 radical anion,2.430000,In4P3-
(H2O)8..SO4 dianion,2.430000,H16O12S-2
Ge2O3 radical anion,2.430000,Ge2O3-
V41 anion,2.430000,V41-
Silver trimer,2.430000,Ag3
Fe33 radical,2.430000,Fe33
In9Ge radical anion,2.430000,GeIn9-
HfGe7 anion,2.430000,Ge7Hf-
Si2F radical,2.430000,FSi2
"2,5-Cyclohexadiene-1,4-dione, 2,5-dichloro-",2.437000,C6H2Cl2O2
"Tetrabromo-1,2-benzoquinone",2.440000,C6Br4O2
NbGe18 anion,2.440000,Ge18Nb-
W20 radical anion,2.440000,W20-
Co21 radical anion,2.440000,Co21-
V43 anion,2.440000,V43-
Si8Na radical,2.440000,NaSi8
Co23 radical,2.440000,Co23
W18 radical,2.440000,W18
pCF3-C6H4CH2O anion,2.443000,C8H6F3O-
Ag16 anion,2.450000,Ag16-
Si5Na radical anion,2.450000,NaSi5-
In7P7 anion,2.450000,In7P7-
H3P3O10 dianion,2.450000,H3O10P3-2
V42 anion,2.450000,V42-
Al2N radical anion,2.450000,Al2N-
Ga5,2.450000,Ga5
Al3P3 radical,2.450000,Al3P3
C16,2.450000,C16
Ag9,2.450000,Ag9
Cu19,2.450000,Cu19
(H2O)8..Me2CO radical anion,2.450000,C3H22O9-
Au2Ni anion,2.450000,Au2Ni-
TiSi11 anion,2.450000,Si11Ti-
Mn4S3 radical anion,2.450000,Mn4S3-
Al10B anion,2.450000,Al10B-
Al5B2 anion,2.450000,Al5B2-
Al14C anion,2.450000,CAl14-
Si14Cs anion,2.450000,CsSi14-
LuGe8 anion,2.450000,Ge8Lu-
In2Sb3 radical,2.450000,In2Sb3
Ga2As,2.457000,AsGa2
In9Si radical anion,2.460000,In9Si-
Si16Zr radical,2.460000,Si16Zr
Co15 radical anion,2.460000,Co15-
V44 anion,2.460000,V44-
V45 anion,2.460000,V45-
"(E,E)HN=CHCNN anion",2.460000,C2H2N3-
Cu2O2,2.460000,Cu2O2
AuS,2.469000,AuS
(Me2CO)7 radical anion,2.470000,C21H42O7-
TiSi17 anion,2.470000,Si17Ti-
Si15W anion,2.470000,Si15W-
TiGe7 anion,2.470000,Ge7Ti-
Ga4P5 radical anion,2.470000,Ga4P5-
"(H2O)7..1,3-O2C-C6H4-CO2 dianion",2.470000,C8H18O11-2
Sn11,2.470000,Sn11
SmCl2..Cl anion,2.473000,Cl3Sm-
CH2=NO2 anion,2.475000,CH2NO2-
Sn8 anion,2.480000,Sn8-
Cr45 anion,2.480000,Cr45-
Cr50,2.480000,Cr50
Co24 radical,2.480000,Co24
Pb13,2.480000,Pb13
In11Ge radical anion,2.480000,GeIn11-
Chlorine azide,2.480000,ClN3
"2,5-Cyclohexadiene-1,4-dione, 2,6-dichloro-",2.480000,C6H2Cl2O2
Ga2P anion,2.481000,Ga2P-
PbAl3 anion,2.484000,Al3Pb-
"Amidogen, methanetetraylbis-",2.484000,CN2
"(Z,E)HN=CHCNN anion",2.484000,C2H2N3-
Al3S2 anion,2.490000,Al3S2-
In12 anion,2.490000,In12-
In15Ge radical anion,2.490000,GeIn15-
AlB6 anion,2.490000,AlB6-
Pb22 anion,2.490000,Pb22-
V46 anion,2.490000,V46-
Fe34 radical,2.490000,Fe34
HC(=O)OO anion,2.493000,CHO3-
pSO2Me-anilide anion,2.499000,C7H8NO2S-
CrH2,2.500000,CrH2
titanium tetrafluoride,2.500000,F4Ti
Ge10 anion,2.500000,Ge10-
Ge11 anion,2.500000,Ge11-
C14 anion,2.500000,C14-
Cu34 anion,2.500000,Cu34-
Pb30 anion,2.500000,Pb30-
ReO2 anion,2.500000,O2Re-
Co25 radical anion,2.500000,Co25-
V47 anion,2.500000,V47-
Ni17 radical anion,2.500000,Ni17-
Al11N radical anion,2.500000,Al11N-
Al19N radical anion,2.500000,Al19N-
germanium dioxide,2.500000,GeO2
CrOCl2 radical,2.500000,Cl2CrO
Cu18,2.500000,Cu18
Cu21,2.500000,Cu21
CsO4,2.500000,CsO4
Ga3P3 radical,2.500000,Ga3P3
CrO2F,2.500000,CrFO2
Fe3S2 radical,2.500000,Fe3S2
(AgF)2 anion,2.500000,Ag2F2-
EuSi14 anion,2.500000,EuSi14-
HfSi16 radical anion,2.500000,HfSi16-
In16 radical anion,2.500000,In16-
MoSi12 anion,2.500000,MoSi12-
MoSi14 anion,2.500000,MoSi14-
Si14W anion,2.500000,Si14W-
C60Si2 radical anion,2.500000,C60Si2-
C60Ge3 radical anion,2.500000,C60Ge3-
Al10B2 anion,2.500000,Al10B2-
Al11C anion,2.500000,CAl11-
Al15C anion,2.500000,CAl15-
Al18C anion,2.500000,CAl18-
Al20C anion,2.500000,CAl20-
Al24C anion,2.500000,CAl24-
Si8Nb anion,2.500000,NbSi8-
Si6Ta anion,2.500000,Si6Ta-
Si6Y anion,2.500000,Si6Y-
PrSi8 anion,2.500000,PrSi8-
Ga6N radical anion,2.500000,Ga6N-
VGe8 anion,2.500000,Ge8V-
NbGe16 anion,2.500000,Ge16Nb-
HfSn17 anion,2.500000,HfSn17-
Al10,2.500000,Al10
Al12,2.500000,Al12
Si11,2.500000,Si11
Al3H9 radical,2.500000,Al3H9
Tin(IV) chloride,2.500000,Cl4Sn
Ga2N anion,2.506000,Ga2N-
"2,6-diCl-Br-tBu-p-benzoquinone radical",2.506000,C10H9BrCl2O2
BO anion,2.508000,BO-
Ge5 anion,2.510000,Ge5-
Ti55 anion,2.510000,Ti55-
Ti60 anion,2.510000,Ti60-
Ni18 radical anion,2.510000,Ni18-
Ni19 radical anion,2.510000,Ni19-
Au3Pd radical anion,2.510000,Au3Pd-
In8P8,2.510000,In8P8
iodine bromide,2.512000,BrI
(CF3)2CH anion,2.513000,C3HF6-
Al2P radical,2.513000,Al2P
BrO2 anion,2.515000,BrO2-
Ag23,2.517000,Ag23
ZrGe8 anion,2.520000,Ge8Zr-
Co26 radical,2.520000,Co26
W21 radical,2.520000,W21
indolide anion,2.522000,C8H6N-
HN=C(Me)S anion,2.524000,C2H4NS-
Iodine,2.524000,I2
oCl-phenoxide anion,2.526000,C6H4ClO-
(H2O)3..O2C(CH2)6CO2 dianion,2.530000,C8H18O7-2
HSi3 anion,2.530000,HSi3-
V48 anion,2.530000,V48-
Cr55 anion,2.530000,Cr55-
(H2O)2..COS radical anion,2.530000,CH4O3S-
(H2O)12..O2CCO2 dianion,2.530000,C2H24O16-2
C6H5Au3 anion,2.530000,C6H5Au3-
Au6Pd anion,2.530000,Au6Pd-
In16Ge radical anion,2.530000,GeIn16-
HfGe17 anion,2.530000,Ge17Hf-
NbGe19 anion,2.530000,Ge19Nb-
Al2MoO3 anion,2.530000,Al2MoO3-
LiD2 radical,2.540000,D2Li
Re3O3 anion,2.540000,O3Re3-
TiGe13 anion,2.540000,Ge13Ti-
V49 anion,2.540000,V49-
hexacyanobenzene radical anion,2.541000,C12N6-
Ag26,2.542000,Ag26
Ag27,2.542000,Ag27
Si2C4 radical anion,2.543000,C4Si2-
PdCN anion,2.543000,CNPd-
